Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.50,-.22,-.29,-.06,-.15,-.17,-.24,-.22,-.30,-.41,-.39,-.28,***,***,-.19,-.19,-.31
1881,-.30,-.21,-.02,.02,.06,-.31,.10,-.03,-.26,-.43,-.35,-.22,-.16,-.18,-.30,.02,-.08,-.35
1882,.27,.22,.03,-.29,-.22,-.27,-.27,-.14,-.24,-.51,-.32,-.67,-.20,-.16,.09,-.16,-.22,-.36
1883,-.57,-.65,-.14,-.29,-.24,-.10,-.05,-.21,-.33,-.16,-.44,-.14,-.28,-.32,-.63,-.23,-.12,-.31
1884,-.15,-.11,-.64,-.59,-.35,-.40,-.40,-.50,-.44,-.43,-.56,-.46,-.42,-.39,-.14,-.53,-.44,-.48
1885,-1.00,-.45,-.23,-.48,-.57,-.44,-.33,-.40,-.39,-.36,-.38,-.10,-.43,-.46,-.64,-.43,-.39,-.38
1886,-.74,-.83,-.70,-.36,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.20,-.42,-.41,-.56,-.46,-.30,-.34
1887,-1.07,-.70,-.43,-.37,-.24,-.19,-.23,-.54,-.20,-.48,-.27,-.42,-.43,-.41,-.66,-.35,-.32,-.31
1888,-.48,-.60,-.63,-.21,-.14,-.02,.01,-.20,-.19,-.03,.00,-.22,-.23,-.24,-.50,-.33,-.07,-.07
1889,-.27,.30,.00,.17,-.03,-.06,-.08,-.19,-.29,-.40,-.61,-.54,-.17,-.14,-.07,.05,-.11,-.44
1890,-.63,-.57,-.46,-.24,-.35,-.15,-.23,-.38,-.34,-.09,-.62,-.46,-.38,-.38,-.58,-.35,-.25,-.35
1891,-.46,-.68,-.16,-.35,-.15,-.12,-.12,-.13,-.08,-.28,-.52,-.03,-.26,-.29,-.53,-.22,-.12,-.29
1892,-.50,-.17,-.67,-.45,-.23,-.06,-.37,-.33,-.20,-.27,-.82,-.64,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.51,-.96,-.31,-.29,-.43,-.18,-.14,-.33,-.29,-.28,-.33,-.60,-.47,-.47,-1.04,-.34,-.22,-.30
1894,-.90,-.41,-.20,-.53,-.25,-.40,-.20,-.26,-.32,-.27,-.47,-.34,-.38,-.40,-.64,-.33,-.28,-.35
1895,-.69,-.80,-.49,-.18,-.29,-.20,-.18,-.27,-.06,-.08,-.12,-.21,-.30,-.31,-.61,-.32,-.22,-.09
1896,-.35,-.17,-.48,-.59,-.15,.08,.01,-.10,-.12,.05,-.20,-.20,-.19,-.19,-.25,-.41,.00,-.09
1897,-.39,-.41,-.39,-.04,.14,-.05,.05,-.06,-.06,-.15,-.25,-.28,-.16,-.15,-.33,-.10,-.02,-.15
1898,.06,-.44,-.80,-.28,-.27,-.08,-.12,-.17,-.17,-.36,-.50,-.26,-.28,-.28,-.22,-.45,-.12,-.34
1899,-.12,-.64,-.58,-.23,-.24,-.35,-.16,-.06,-.04,.05,.36,-.46,-.21,-.19,-.34,-.35,-.19,.12
1900,-.61,-.13,.06,-.09,-.03,-.08,-.11,-.08,-.02,.23,-.12,-.02,-.08,-.12,-.40,-.02,-.09,.03
1901,-.33,-.09,.28,.11,-.10,.02,.02,-.15,-.26,-.31,-.22,-.40,-.12,-.09,-.15,.09,-.04,-.26
1902,-.16,.03,-.37,-.37,-.37,-.35,-.32,-.28,-.32,-.30,-.44,-.59,-.32,-.30,-.17,-.37,-.32,-.35
1903,-.21,.13,-.13,-.45,-.42,-.44,-.43,-.54,-.48,-.48,-.42,-.56,-.37,-.37,-.22,-.33,-.47,-.46
1904,-.76,-.58,-.40,-.49,-.43,-.48,-.59,-.54,-.63,-.38,-.08,-.34,-.48,-.49,-.63,-.44,-.54,-.37
1905,-.41,-.81,-.23,-.45,-.28,-.27,-.21,-.23,-.19,-.27,.09,-.17,-.28,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.21,.04,-.24,-.11,-.26,-.17,-.24,-.18,-.40,.03,-.24,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.57,-.47,-.42,-.43,-.45,-.43,-.38
1908,-.54,-.27,-.70,-.48,-.29,-.30,-.36,-.57,-.31,-.45,-.63,-.55,-.45,-.46,-.46,-.49,-.41,-.46
1909,-.93,-.45,-.67,-.65,-.49,-.51,-.44,-.35,-.37,-.33,-.11,-.57,-.49,-.49,-.64,-.60,-.43,-.27
1910,-.35,-.37,-.49,-.41,-.29,-.44,-.37,-.40,-.43,-.31,-.57,-.81,-.44,-.42,-.43,-.40,-.40,-.44
1911,-.70,-.58,-.64,-.45,-.45,-.33,-.36,-.44,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.51,-.38,-.26
1912,-.34,-.16,-.60,-.16,-.11,-.14,-.52,-.77,-.80,-.84,-.51,-.56,-.46,-.44,-.27,-.29,-.47,-.72
1913,-.55,-.64,-.47,-.50,-.54,-.49,-.51,-.46,-.42,-.40,-.15,.10,-.42,-.48,-.59,-.50,-.49,-.32
1914,.17,-.11,-.35,-.39,-.19,-.23,-.34,-.27,-.30,-.01,-.22,-.05,-.19,-.18,.06,-.31,-.28,-.18
1915,-.26,-.09,-.24,.07,-.02,-.13,-.10,-.16,-.22,-.27,-.03,-.26,-.14,-.13,-.14,-.06,-.13,-.17
1916,-.09,-.16,-.39,-.34,-.36,-.51,-.34,-.37,-.49,-.35,-.47,-1.14,-.42,-.35,-.17,-.36,-.41,-.44
1917,-.54,-.69,-.75,-.65,-.73,-.49,-.33,-.40,-.31,-.63,-.32,-1.06,-.58,-.58,-.79,-.71,-.41,-.42
1918,-.70,-.46,-.25,-.59,-.49,-.46,-.35,-.37,-.26,-.05,-.22,-.56,-.40,-.44,-.74,-.45,-.39,-.18
1919,-.38,-.42,-.39,-.24,-.42,-.40,-.34,-.30,-.20,-.10,-.48,-.56,-.35,-.35,-.45,-.35,-.35,-.26
1920,-.15,-.29,.00,-.21,-.21,-.26,-.26,-.31,-.35,-.40,-.45,-.71,-.30,-.29,-.33,-.14,-.28,-.40
